,CustomerKey,Name,Birthday,OrderCount,CustomerOrderingType
0,301,Lilly Harding,1939-07-03,1,VIP Customer
1,325,Madison Hull,1979-09-27,10,Periodic Buyer
2,554,Claire Ferres,1947-05-26,4,VIP Customer
3,786,Jai Poltpalingada,1957-09-17,1,VIP Customer
4,1042,Aidan Pankhurst,1965-11-19,3,VIP Customer
5,1086,Hayden Clegg,1954-01-20,1,VIP Customer
6,1133,Nicholas Caffyn,1969-11-22,1,VIP Customer
7,1256,Lincoln Jenks,1950-03-12,1,VIP Customer
8,1314,Isaac Israel,1965-12-21,5,Periodic Buyer
9,1568,Luke Virtue,1975-07-25,9,Periodic Buyer
10,1585,Anna Hallstrom,1990-08-12,4,VIP Customer
11,1626,Mary Leach,1985-10-17,4,VIP Customer
12,1642,Ruby Ambrose,1965-03-03,1,VIP Customer
13,1677,Dean Innes,1964-11-22,1,VIP Customer
14,1817,Laura Le Rennetel,1986-07-10,1,VIP Customer
15,1863,Chelsea Watkins,1984-09-22,8,Periodic Buyer
16,1945,Angus Beaurepaire,1974-09-20,1,VIP Customer
17,2238,Isabelle Cochran,1969-10-31,3,VIP Customer
18,2248,Rory Spargo,1987-12-15,2,VIP Customer
19,2435,Lilian Hall,1968-04-01,4,VIP Customer
20,2469,Phoebe Kneeshaw,1948-05-20,2,VIP Customer
21,2512,Matilda Hake,1992-11-13,5,Periodic Buyer
22,2604,Claudia Davison,1995-04-08,1,VIP Customer
23,2751,Nate Lowes,1979-08-20,1,VIP Customer
24,2792,Zachary Perkin,1976-08-25,1,VIP Customer
25,2836,Nicholas Shand,1959-02-23,1,VIP Customer
26,3002,Joshua Aronson,2000-11-08,3,VIP Customer
27,3006,Alica Stuckey,1943-01-13,1,VIP Customer
28,3203,Aidan Kane,1998-08-18,8,Periodic Buyer
29,3270,Hunter Templeton,1948-05-02,1,VIP Customer
30,3327,Alannah Le Messurier,1948-04-28,3,VIP Customer
31,3410,Will Armitage,1950-05-12,1,VIP Customer
32,3575,Noah McFarland,1942-03-04,1,VIP Customer
33,3964,Rose Code,1944-02-16,1,VIP Customer
34,4004,Piper Wrixon,1995-06-24,1,VIP Customer
35,4174,Rebecca Yelverton,1990-10-05,5,Periodic Buyer
36,4633,Victoria Brown,1964-01-08,1,VIP Customer
37,4734,Justin Felan,1946-02-13,1,VIP Customer
38,4808,Jamie Evenden,1944-06-28,1,VIP Customer
39,4811,Brayden Bulcock,1994-12-21,1,VIP Customer
40,5097,Bella Foley,1942-11-13,1,VIP Customer
41,5445,Jake Clibborn,1952-09-10,1,VIP Customer
42,5962,Aiden Dugdale,1938-11-17,8,Periodic Buyer
43,6193,Lara Cassidy,1945-12-27,1,VIP Customer
44,6242,Cody Grosse,1964-02-10,1,VIP Customer
45,6258,Zac Hull,1976-07-03,3,VIP Customer
46,6308,Taj Sexton,2001-02-15,3,VIP Customer
47,6459,Mitchell Leigh,1942-05-24,1,VIP Customer
48,6794,Abby Hyam,1971-02-06,1,VIP Customer
49,7109,Hamish Bolton,1979-11-15,2,VIP Customer
50,7122,Lara Virtue,1999-08-13,1,VIP Customer
51,7313,Chelsea Keast,1990-01-26,1,VIP Customer
52,7398,Jonathan Thorpe,1945-06-10,1,VIP Customer
53,7493,Declan Torrens,1978-07-20,1,VIP Customer
54,7494,Ben Coventry,1967-04-02,1,VIP Customer
