,CustomerKey,Name,OrderCount,CustomerOrderingType
5259,723572,Gaspare Trevisan,36,Loyal Customer
13936,1925694,Fabrice Lamoureux,32,Loyal Customer
11323,1579183,Paul Warren,32,Loyal Customer
14317,1972249,Claire Macdonald,29,Loyal Customer
14078,1942072,Victor Kristensen,29,Loyal Customer
10667,1492176,Margaret Mattson,29,Loyal Customer
10865,1521733,Lisa Sherman,29,Loyal Customer
15115,2080484,Delmer Martinez,29,Loyal Customer
5728,793686,Uriele Marcelo,28,Loyal Customer
2841,382960,Velia Phillips,28,Loyal Customer
13356,1849306,Chad Coon,27,Loyal Customer
6797,946857,Dylan Taylor,27,Loyal Customer
5630,780974,Maurizia Pirozzi,27,Loyal Customer
9858,1388023,David Breton,27,Loyal Customer
11784,1638118,Lillian Evans,26,Loyal Customer
10882,1523982,Robert Nelsen,26,Loyal Customer
8657,1231909,Andrea McMurray,25,Loyal Customer
7107,998374,Cerys Farmer,25,Loyal Customer
3445,461982,Vanessa Holzman,25,Loyal Customer
7498,1057055,Kyle Dixon,25,Loyal Customer
7769,1098687,Edward Rose,24,Loyal Customer
3875,522806,René Fuerst,24,Loyal Customer
7452,1049861,Daniel Walton,24,Loyal Customer
11577,1610098,Sara Christensen,24,Loyal Customer
3559,478298,Juliane Duerr,24,Loyal Customer
1617,224111,Irene Cardoza,24,Loyal Customer
9410,1328055,Robert Smith,24,Loyal Customer
7522,1060423,Eleanor Jackson,24,Loyal Customer
13580,1878163,Darci Dorsey,24,Loyal Customer
13150,1818102,Tyrone Lewis,24,Loyal Customer
10030,1410548,Mark Hillman,24,Loyal Customer
10271,1439502,Wayne Long,24,Loyal Customer
9027,1277243,Mark Enloe,24,Loyal Customer
9092,1286602,Frances Colbert,23,Loyal Customer
12546,1736139,Martha Thornton,23,Loyal Customer
8614,1226395,Darryl Stec,23,Loyal Customer
6687,930705,Elizabeth Butler,23,Loyal Customer
11067,1543325,Marlene Merritt,23,Loyal Customer
9648,1360550,Essie Scott,23,Loyal Customer
10671,1493457,Marcos McMichael,23,Loyal Customer
10129,1420237,Michael Hermes,22,Loyal Customer
9230,1305082,David West,22,Loyal Customer
14626,2014226,Theodor Kristoffersen,22,Loyal Customer
7723,1094276,Kyle Quinn,22,Loyal Customer
4264,574327,Jens Himmel,22,Loyal Customer
14759,2032411,Eneyen Hernández,22,Loyal Customer
8861,1256256,Madeline Sluss,22,Loyal Customer
3685,497839,Marina Austerlitz,22,Loyal Customer
9295,1313113,Mercedes Leon,22,Loyal Customer
13450,1860488,Daniel Sherman,22,Loyal Customer
14780,2034922,Aubrey Audet,22,Loyal Customer
9812,1381883,Luke Watson,22,Loyal Customer
9558,1349131,Katherine Rosales,22,Loyal Customer
7676,1087732,Michael Robertson,22,Loyal Customer
9171,1295537,Patrick Stephenson,21,Loyal Customer
10898,1525193,Ronald Oconnell,21,Loyal Customer
7019,982052,Charlie Cole,21,Loyal Customer
8605,1224615,Paula Barker,21,Loyal Customer
10869,1522440,Steven Crawford,21,Loyal Customer
9740,1373561,Ollie Davis,21,Loyal Customer
11499,1600419,Dorsey Nelson,21,Loyal Customer
7378,1039050,Rosie Hayward,21,Loyal Customer
10512,1472319,Christopher Yancy,21,Loyal Customer
12262,1702221,Matthew Flemming,21,Loyal Customer
12376,1716357,Veronica Benford,21,Loyal Customer
15107,2079677,Jensen Brown,21,Loyal Customer
10031,1410778,Doug Dalton,21,Loyal Customer
7245,1018779,Natasha Banks,21,Loyal Customer
9290,1312168,Henry Cox,21,Loyal Customer
13159,1819252,Ariel Robinson,21,Loyal Customer
4430,598323,Mike Nadel,20,Loyal Customer
8444,1201225,John Lally,20,Loyal Customer
9519,1344432,Darrel Martinez,20,Loyal Customer
8965,1268744,Judy Hoag,20,Loyal Customer
3058,410798,Franziska Kuster,20,Loyal Customer
6658,924975,Kayleigh Power,20,Loyal Customer
5618,778498,Ortensia Monaldo,20,Loyal Customer
2482,337695,Lucila Yagi,20,Loyal Customer
12923,1785644,Ellen Campbell,20,Loyal Customer
9424,1330039,Jenny Castillo,20,Loyal Customer
11201,1561454,Esther Guidry,20,Loyal Customer
3670,495181,Stephan Eisenberg,20,Loyal Customer
3923,528376,Jonas Meyer,20,Loyal Customer
13132,1815456,Terry Herring,20,Loyal Customer
11514,1602426,Joseph Hamilton,20,Loyal Customer
